rid,fcid,service,date,need,entity,family_of_missing,survivor_of_detention,primary_torture,secondary_torture,sexual_violation_a,sexual_violation_p,hrd,journalist,wov,stgbv,lgbti,other,sex,age
R0904,8110050103.0,cm,2024-02-23,Cash assistance,أورنج,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Male,38
R0716,8110080013.0,cm,2024-02-23,Cash assistance,أورنج,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Female,29
R0694,8110020126.0,cm,2024-02-23,Cash assistance,أورنج,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Male,36
R0485,8110020108.0,cm,2024-02-23,Cash assistance,أورنج,Yes,Yes,Yes,Yes,,,,,Yes,No,No,No,Male,44
R0678,8110080020.0,cm,2024-02-23,Cash assistance,أورنج,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Male,49
R0359,8110050048.0,cm,2024-02-23,Cash assistance,أورنج,Yes,No,No,Yes,,,,,Yes,No,No,No,Female,39
R0116,8110020062.0,cm,2024-03-15,Cash assistance,أورنج,No,No,No,Yes,,,,,Yes,Yes,No,No,Female,43
R0083,,cm,2024-03-15,Cash assistance,أورنج,Yes,Yes,Yes,Yes,,,,,Yes,Yes,No,No,Female,36
R0105,8110020058.0,cm,2024-03-15,Cash assistance,أورنج,No,No,No,No,,,,,Yes,No,No,No,Female,33
R0267,8110070005.0,cm,2024-03-15,Cash assistance,أورنج,No,No,Yes,Yes,,,,,Yes,No,No,No,Female,47
R0255,8110070004.0,cm,2024-03-15,Cash assistance,أورنج,No,No,Yes,Yes,,,,,Yes,No,No,No,Female,45
R0187,8110050030.0,cm,2024-03-15,Cash assistance,أورنج,No,No,No,Yes,,,,,Yes,No,No,No,Female,40
R0119,8110020063.0,cm,2024-03-15,Cash assistance,أورنج,Yes,No,Yes,Yes,,,,,Yes,No,No,No,Female,23
R0314,8110020091.0,cm,2024-03-15,Cash assistance,أورنج,No,No,No,Yes,,,,,Yes,No,No,No,Female,41
R0297,8110020087.0,cm,2024-03-15,Cash assistance,أورنج,No,No,No,No,,,,,Yes,No,No,No,Female,41
R0189,8110050033.0,cm,2024-03-15,Cash assistance,أورنج,No,No,No,Yes,,,,,Yes,No,No,No,Female,58
R0140,8110020070.0,cm,2024-03-15,Cash assistance,أورنج,No,No,No,Yes,,,,,Yes,No,No,No,Female,56
R0118,8110020068.0,cm,2024-03-15,Cash assistance,أورنج,No,No,No,Yes,,,,,Yes,No,No,No,Female,43
R0246,8110020084.0,cm,2024-03-15,Cash assistance,أورنج,No,No,No,Yes,,,,,Yes,No,No,No,Female,20
R0198,8110020072.0,cm,2024-03-15,Cash assistance,أورنج,No,Yes,No,Yes,,,,,Yes,No,No,No,Female,40
R0074,8110020054.0,cm,2024-03-15,Cash assistance,أورنج,No,No,No,No,,,,,Yes,No,No,No,Female,38
R0205,8110070003.0,cm,2024-03-15,Cash assistance,أورنج,Yes,No,No,Yes,,,,,Yes,No,No,No,Female,51
R0078,8110040006.0,cm,2024-03-15,Cash assistance,أورنج,No,Yes,Yes,Yes,,,,,Yes,No,No,No,Female,40
R0070,,cm,2024-03-15,Cash assistance,أورنج,No,No,No,Yes,,,,,Yes,Yes,No,No,Female,42
R0101,8110050014.0,cm,2024-03-15,Cash assistance,أورنج,No,No,No,Yes,,,,,Yes,No,No,No,Female,65
R0071,,cm,2024-03-15,Cash assistance,أورنج,Yes,No,No,Yes,,,,,Yes,No,No,No,Female,39
R0032,8110020037.0,cm,2024-03-15,Cash assistance,أورنج,Yes,Yes,Yes,Yes,,,,,Yes,No,No,Yes,,
R0108,8110020059.0,cm,2024-03-15,Cash assistance,أورنج,No,No,No,Yes,,,,,Yes,No,No,No,Female,53
R0040,8110020040.0,cm,2024-03-15,Cash assistance,أورنج,No,No,Yes,Yes,,,,,Yes,Yes,No,No,,
R0273,8110020078.0,cm,2024-03-15,Cash assistance,أورنج,No,No,No,Yes,,,,,Yes,No,No,No,Female,47
R0340,,cm,2024-03-15,Cash assistance,أورنج,,,,,,,,,,,,,Female,24
R1233,,cm,2024-03-20,MHPSS,سامز,,,,,,,,,,,,,Female,32
R0898,,cm,2024-03-20,MHPSS,سامز,,,,,,,,,,,,,Female,29
R0826,,cm,2024-03-20,MHPSS,سامز,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Female,43
R0801,8110080019.0,cm,2024-03-20,MHPSS,سامز,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Female,42
R0638,8110020121.0,cm,2024-03-20,MHPSS,سامز,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Female,35
R0481,8110080002.0,cm,2024-03-20,MHPSS,سامز,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Female,39
R0120,8110020106.0,cm,2024-04-19,Legal documentation,اس جاك,Yes,No,No,Yes,,,,,Yes,No,No,No,Male,44
R0224,8110050039.0,cm,2024-04-19,Legal documentation,اس جاك,No,No,No,Yes,,,,,Yes,Yes,No,No,Female,31
R0246,8110020084.0,cm,2024-04-19,Legal documentation,اس جاك,No,No,No,Yes,,,,,Yes,No,No,No,Female,20
R0485,8110020108.0,cm,2024-04-19,Legal documentation,اس جاك,Yes,Yes,Yes,Yes,,,,,Yes,No,No,No,Male,44
R0575,8110080017.0,cm,2024-04-19,Legal documentation,اس جاك,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Female,41
R0198,8110020072.0,cm,2024-04-19,MHPSS,سامز,No,Yes,No,Yes,,,,,Yes,No,No,No,Female,40
R0797,,cm,2024-04-19,Legal documentation,ADMSP,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Female,48
R0869,,cm,2024-04-19,Legal documentation,ADMSP,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Female,40
R0562,,cm,2024-04-19,Legal documentation,ADMSP,,,,,,,,,,,,,Female,65
R0592,8110050096.0,cm,2024-04-19,Legal documentation,ADMSP,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Male,30
R0574,8110080007.0,cm,2024-04-19,Legal documentation,ADMSP,No,No,No,No,No,No,No,No,Yes,No,No,No,Female,43
R0897,8110110010.0,cm,2024-04-19,Legal documentation,ADMSP,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Female,53
R1283,,cm,2024-04-24,MHPSS,سامز,,,,,,,,,,,,,Female,31
R0782,,cm,2024-05-06,MHPSS,TMH,,,,,,,,,,,,,Female,50
R1198,,cm,2024-05-06,MHPSS,TMH,,,,,,,,,,,,,Female,46
R0784,,cm,2024-05-06,MHPSS,TMH,,,,,,,,,,,,,Male,59
R0785,,cm,2024-05-06,MHPSS,TMH,,,,,,,,,,,,,Female,46
R1177,,cm,2024-05-06,MHPSS,TMH,,,,,,,,,,,,,Male,49
R0786,,cm,2024-05-06,MHPSS,TMH,,,,,,,,,,,,,Male,38
R1206,,cm,2024-05-06,MHPSS,TMH,,,,,,,,,,,,,Female,45
R0791,,cm,2024-05-06,MHPSS,TMH,,,,,,,,,,,,,Male,31
